full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
Mercury,Mercury,0.38709893,0.20563069,7.00487,48.33167,29.12478,Planet,Terrestrial,Interior
Venus,Venus,0.72333199,0.00677323,3.39471,76.68069,54.85229,Planet,Terrestrial,Interior
Earth,Earth,1.00000011,0.01671022,0.00005,348.73936,114.20783,Planet,Terrestrial,
Mars,Mars,1.52366231,0.0935,1.85061,49.57854,286.4623,Planet,Terrestrial,Outer
Jupiter,Jupiter,5.20336301,0.04839266,1.3053,100.55615,274.1977,Planet,Jovian,Outer
Saturn,Saturn,9.53707032,0.0541506,2.48446,113.71504,338.7169,Planet,Jovian,Outer
Uranus,Uranus,19.19126393,0.04716771,0.76986,74.22988,96.73436,Planet,Jovian,Outer
Neptune,Neptune,30.06896348,0.00858587,1.76917,131.72169,273.24966,Planet,Jovian,Outer
   433 Eros (A898 PA),433,1.458,0.2228,10.83,304.29,178.93,Asteroid,NEO,Amor
   719 Albert (A911 TB),719,2.637,0.547,11.58,183.86,156.25,Asteroid,NEO,Amor
   887 Alinda (A918 AA),887,2.472,0.5707,9.4,110.42,350.48,Asteroid,NEO,Amor
  1036 Ganymed (A924 UB),1036,2.666,0.533,26.69,215.5,132.47,Asteroid,NEO,Amor
  1221 Amor (1932 EA1),1221,1.919,0.4358,11.88,171.32,26.63,Asteroid,NEO,Amor
  1580 Betulia (1950 KA),1580,2.198,0.487,52.1,62.26,159.55,Asteroid,NEO,Amor
  1627 Ivar (1929 SH),1627,1.864,0.3965,8.45,133.12,167.81,Asteroid,NEO,Amor
  1915 Quetzalcoatl (1953 EA),1915,2.544,0.5704,20.4,162.94,347.8,Asteroid,NEO,Amor
  1916 Boreas (1953 RA),1916,2.272,0.4498,12.88,340.6,335.89,Asteroid,NEO,Amor
  1917 Cuyo (1968 AA),1917,2.15,0.5056,23.96,188.29,194.53,Asteroid,NEO,Amor
  1943 Anteros (1973 EC),1943,1.43,0.256,8.71,246.31,338.36,Asteroid,NEO,Amor
  1980 Tezcatlipoca (1950 LA),1980,1.71,0.3648,26.87,246.55,115.48,Asteroid,NEO,Amor
  2059 Baboquivari (1963 UA),2059,2.642,0.5318,11.02,200.69,192.44,Asteroid,NEO,Amor
  2061 Anza (1960 UA),2061,2.265,0.536,3.8,207.36,157.06,Asteroid,NEO,Amor
  2202 Pele (1972 RA),2202,2.291,0.5127,8.74,169.93,217.93,Asteroid,NEO,Amor
  2368 Beltrovata (1977 RA),2368,2.105,0.4133,5.22,287.31,43.12,Asteroid,NEO,Amor
  2608 Seneca (1978 DA),2608,2.523,0.5701,14.64,167.3,37.65,Asteroid,NEO,Amor
  3102 Krok (1981 QA),3102,2.151,0.4496,8.44,172.05,154.8,Asteroid,NEO,Amor
  3199 Nefertiti (1982 RA),3199,1.575,0.2842,32.96,339.99,53.41,Asteroid,NEO,Amor
  3271 Ul (1982 RB),3271,2.101,0.396,25.08,158.81,159.1,Asteroid,NEO,Amor
  3288 Seleucus (1982 DV),3288,2.033,0.4563,5.93,218.62,349.28,Asteroid,NEO,Amor
  3352 McAuliffe (1981 CW),3352,1.879,0.3691,4.77,107.33,16.12,Asteroid,NEO,Amor
  3551 Verenia (1983 RD),3551,2.092,0.4874,9.51,173.78,193.29,Asteroid,NEO,Amor
  3552 Don Quixote (1983 SA),3552,4.265,0.7081,31.09,349.93,316.6,Asteroid,NEO,Amor
  3553 Mera (1985 JA),3553,1.645,0.3201,36.78,232.49,288.94,Asteroid,NEO,Amor
  3691 Bede (1982 FT),3691,1.775,0.2841,20.36,348.74,234.92,Asteroid,NEO,Amor
  3908 Nyx (1980 PA),3908,1.927,0.4594,2.19,261.21,126.63,Asteroid,NEO,Amor
  3988 Huma (1986 LA),3988,1.545,0.3166,10.77,229.79,86.96,Asteroid,NEO,Amor
  4055 Magellan (1985 DO2),4055,1.82,0.3262,23.26,164.82,154.44,Asteroid,NEO,Amor
  4401 Aditi (1985 TB),4401,2.583,0.5632,26.63,22.79,68.12,Asteroid,NEO,Amor
  4487 Pocahontas (1987 UA),4487,1.731,0.2966,16.41,198.11,173.98,Asteroid,NEO,Amor
  4503 Cleobulus (1989 WM),4503,2.704,0.5243,2.51,45.96,76.25,Asteroid,NEO,Amor
  4596 (1981 QB),4596,2.24,0.5199,37.07,154.22,248.37,Asteroid,NEO,Amor
  4688 (1980 WF),4688,2.232,0.5179,6.38,241.23,213.82,Asteroid,NEO,Amor
  4947 Ninkasi (1988 TJ1),4947,1.37,0.1684,15.65,215.43,192.93,Asteroid,NEO,Amor
  4954 Eric (1990 SQ),4954,2.002,0.4492,17.43,358.42,52.57,Asteroid,NEO,Amor
  4957 Brucemurray (1990 XJ),4957,1.566,0.2188,35.01,254.88,97.49,Asteroid,NEO,Amor
  5324 Lyapunov (1987 SL),5324,2.984,0.6047,19.62,352.25,321.14,Asteroid,NEO,Amor
  5332 Davidaguilar (1990 DA),5332,2.164,0.4553,25.52,142.78,306.06,Asteroid,NEO,Amor
  5370 Taranis (1986 RA),5370,3.321,0.6371,19.17,177.8,161.35,Asteroid,NEO,Amor
  5587 (1990 SB),5587,2.398,0.544,18.09,189.92,86.81,Asteroid,NEO,Amor
  5620 Jasonwheeler (1990 OA),5620,2.159,0.4225,7.87,128.65,153.8,Asteroid,NEO,Amor
  5626 Melissabrucker (1991 FE),5626,2.194,0.4548,3.85,173.1,231.81,Asteroid,NEO,Amor
  5646 (1990 TR),5646,2.143,0.4361,7.91,14.1,335.76,Asteroid,NEO,Amor
  5653 Camarillo (1992 WD5),5653,1.794,0.3046,6.88,9.89,122.65,Asteroid,NEO,Amor
  5751 Zao (1992 AC),5751,2.102,0.4252,16.07,121.63,25.5,Asteroid,NEO,Amor
  5797 Bivoj (1980 AA),5797,1.893,0.4443,4.19,298.93,168.65,Asteroid,NEO,Amor
  5836 (1993 MF),5836,2.441,0.5365,7.95,238.73,78.05,Asteroid,NEO,Amor
  5863 Tara (1983 RB),5863,2.222,0.5054,19.49,168.89,115.52,Asteroid,NEO,Amor
  5869 Tanith (1988 VN4),5869,1.812,0.3211,17.93,227.85,230.83,Asteroid,NEO,Amor
  5879 Almeria (1992 CH1),5879,1.625,0.289,21.57,145.83,355.81,Asteroid,NEO,Amor
  6050 Miwablock (1992 AE),6050,2.203,0.4371,6.4,88.17,285.01,Asteroid,NEO,Amor
  6178 (1986 DA),6178,2.815,0.5843,4.31,64.5,127.45,Asteroid,NEO,Amor
  6456 Golombek (1992 OM),6456,2.192,0.4093,8.22,313.58,347.14,Asteroid,NEO,Amor
  6569 Ondaatje (1993 MO),6569,1.626,0.2208,22.64,111.47,167.35,Asteroid,NEO,Amor
  7088 Ishtar (1992 AA),7088,1.981,0.3899,8.3,102.61,354.77,Asteroid,NEO,Amor
  7236 (1987 PA),7236,2.725,0.559,16.33,308.5,337.93,Asteroid,NEO,Amor
  7336 Saunders (1989 RS1),7336,2.306,0.4816,7.2,174.47,181.51,Asteroid,NEO,Amor
  7358 Oze (1995 YA3),7358,2.199,0.5023,4.66,265.45,92.27,Asteroid,NEO,Amor
  7474 (1992 TC),7474,1.566,0.2922,7.09,88.61,275.65,Asteroid,NEO,Amor
  7480 Norwan (1994 PC),7480,1.568,0.317,9.45,124.37,256.85,Asteroid,NEO,Amor
  7839 (1994 ND),7839,2.165,0.5186,27.11,102.51,228.35,Asteroid,NEO,Amor
  7977 (1977 QQ5),7977,2.226,0.4663,25.16,134.14,248.09,Asteroid,NEO,Amor
  8013 Gordonmoore (1990 KA),8013,2.2,0.4313,7.57,105.56,146.74,Asteroid,NEO,Amor
  8034 Akka (1992 LR),8034,1.83,0.4092,2.02,232.83,68.21,Asteroid,NEO,Amor
  8037 (1993 HO1),8037,1.987,0.4175,5.91,22.39,105.71,Asteroid,NEO,Amor
  8567 (1996 HW1),8567,2.045,0.4495,8.45,177.1,177.31,Asteroid,NEO,Amor
  8709 Kadlu (1994 JF1),8709,2.529,0.489,3.52,119.24,153.64,Asteroid,NEO,Amor
  9172 Abhramu (1989 OB),9172,2.71,0.5529,7.84,287.62,74.1,Asteroid,NEO,Amor
  9400 (1994 TW1),9400,2.587,0.5808,36,3.36,62.14,Asteroid,NEO,Amor
  9950 ESA (1990 VB),9950,2.439,0.5329,14.59,253.47,103.57,Asteroid,NEO,Amor
 10150 (1994 PN),10150,2.375,0.544,45.94,112.98,234.03,Asteroid,NEO,Amor
