full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
Mercury,Mercury,0.387,0.2056,7.01,48.3,29.2,Planet,Terrestrial,Interior
Venus,Venus,0.7223,0.0068,3.39,76.7,55.2,Planet,Terrestrial,Interior
Earth,Earth,1,0.0167,0,164.1,299.6,Planet,Terrestrial,
Mars,Mars,1.524,0.0934,1.85,49.6,286.5,Planet,Terrestrial,Outer
Jupiter,Jupiter,5.204,0.0488,1.3,100.5,275,Planet,Jovian,Outer
Saturn,Saturn,9.582,0.0588,2.49,113.6,336.3,Planet,Jovian,Outer
Uranus,Uranus,19.224,0.0447,0.77,74,96.3,Planet,Jovian,Outer
Neptune,Neptune,30.092,0.0112,1.77,131.8,267.7,Planet,Jovian,Outer
Pluto,134340,39.44506973,0.250248713,17.08900092,110.376958,112.5971417,Dwarfplanet,,
Ceres,1,2.767181743,0.078817451,10.58634327,80.26014869,73.47046154,Dwarfplanet,,
Eris,136199,68.14536546,0.431958122,43.76049566,36.07068768,150.9970341,Dwarfplanet,,
Haumea,136108,42.90830525,0.200029048,28.21036873,122.0310292,240.422076,Dwarfplanet,,
Makemake,136472,45.26450264,0.166136077,29.01843074,79.36121835,295.8223876,Dwarfplanet,,
     1 Ceres (A801 AA),1,2.767,0.0788,10.59,80.26,73.47,Asteroid,FEO,Main-belt
     2 Pallas (A802 FA),2,2.77,0.2301,34.93,172.92,310.86,Asteroid,FEO,Main-belt
     3 Juno (A804 RA),3,2.67,0.2565,12.99,169.84,247.74,Asteroid,FEO,Main-belt
     4 Vesta (A807 FA),4,2.363,0.0888,7.14,103.76,151.6,Asteroid,FEO,Main-belt
     5 Astraea (A845 XA),5,2.579,0.1879,5.36,141.52,358.89,Asteroid,FEO,Main-belt
     6 Hebe (A847 NA),6,2.425,0.2028,14.74,138.64,239.54,Asteroid,FEO,Main-belt
     7 Iris (A847 PA),7,2.387,0.2297,5.52,259.5,145.41,Asteroid,FEO,Main-belt
     8 Flora (A847 UA),8,2.201,0.1564,5.89,110.86,285.61,Asteroid,FEO,Main-belt
     9 Metis (A848 HA),9,2.387,0.1234,5.58,68.88,5.9,Asteroid,FEO,Main-belt
    10 Hygiea (A849 GA),10,3.14,0.1112,3.83,283.17,312.49,Asteroid,FEO,Main-belt
    11 Parthenope (A850 JA),11,2.453,0.0994,4.63,125.52,195.74,Asteroid,FEO,Main-belt
    12 Victoria (A850 RA),12,2.333,0.2205,8.37,235.36,69.61,Asteroid,FEO,Main-belt
    13 Egeria (A850 VA),13,2.576,0.0856,16.54,43.21,79.91,Asteroid,FEO,Main-belt
    14 Irene (A851 KA),14,2.586,0.1655,9.12,86.11,97.77,Asteroid,FEO,Main-belt
    15 Eunomia (A851 OA),15,2.643,0.187,11.75,292.91,98.71,Asteroid,FEO,Main-belt
    16 Psyche (A852 FA),16,2.924,0.1341,3.1,150.03,229.33,Asteroid,FEO,Main-belt
    17 Thetis (A852 HA),17,2.471,0.1326,5.59,125.54,135.72,Asteroid,FEO,Main-belt
    18 Melpomene (A852 MA),18,2.295,0.2182,10.13,150.36,228.18,Asteroid,FEO,Main-belt
    19 Fortuna (A852 QA),19,2.443,0.1572,1.57,211.03,182.54,Asteroid,FEO,Main-belt
    20 Massalia (A852 SA),20,2.409,0.1433,0.71,205.97,257.51,Asteroid,FEO,Main-belt
    21 Lutetia (A852 VA),21,2.435,0.1636,3.06,80.85,250.27,Asteroid,FEO,Main-belt
    22 Kalliope (A852 WA),22,2.911,0.0986,13.7,65.98,357.77,Asteroid,FEO,Main-belt
    23 Thalia (A852 XA),23,2.629,0.2311,10.11,66.49,61.44,Asteroid,FEO,Main-belt
    24 Themis (A853 GA),24,3.153,0.1178,0.75,36.44,107.47,Asteroid,FEO,Main-belt
    25 Phocaea (A853 GB),25,2.4,0.2546,21.61,214.1,90.25,Asteroid,FEO,Main-belt
    26 Proserpina (A853 JA),26,2.654,0.0891,3.56,45.76,193.72,Asteroid,FEO,Main-belt
    27 Euterpe (A853 VA),27,2.347,0.1713,1.58,94.77,356.36,Asteroid,FEO,Main-belt
